,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
47,265777.0,Cidade Nova,Norte,Casas,79.0,3.0,2.0,2.0
48,1800000.0,Ponta Negra,Oeste,Apartamentos,185.0,4.0,3.0,5.0
49,165000.0,Tarumã,Oeste,Apartamentos,53.0,3.0,1.0,1.0
50,4500000.0,Ponta Negra,Oeste,Casas,497.0,5.0,5.0,5.0
51,650000.0,Ponta Negra,Oeste,Apartamentos,85.0,3.0,2.0,3.0
52,2600000.0,Dom Pedro I,Centro-Oeste,Casas,415.0,3.0,4.0,5.0
55,122000.0,Tarumã,Oeste,Apartamentos,42.0,2.0,2.0,1.0
56,600000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,161.0,4.0,2.0,5.0
57,2250001.0,Ponta Negra,Oeste,Casas,330.0,4.0,4.0,5.0
58,6500000.0,Ponta Negra,Oeste,Casas,800.0,4.0,5.0,5.0
59,1600000.0,Flores,Centro-Sul,Casas,200.0,5.0,5.0,5.0
60,640000.0,Ponta Negra,Oeste,Casas,350.0,3.0,2.0,3.0
61,499000.0,Cidade Nova,Norte,Apartamentos,131.0,3.0,2.0,2.0
62,525000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,110.0,3.0,2.0,3.0
63,700000.0,Ponta Negra,Oeste,Casas,140.0,3.0,4.0,5.0
64,3900000.0,Aleixo,Centro-Sul,Apartamentos,800.0,4.0,2.0,5.0
