valor,cep,cidade,bairro,zona,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
590000,69037144,Manaus,Ponta Negra,Oeste,Avenida Frederico Baird,Casas,124,3,2,4
115000,69095000,Manaus,Cidade Nova,Norte,Avenida Noel Nutels - de 851/852 a 2399/2400,Casas,35,1,2,1
265130,69058000,Manaus,Flores,Centro-Sul,Conjunto Anavilhanas,Casas,90,3,2,2
265000,69028050,Manaus,Flores,Centro-Sul,Rua Noruega,Casas,90,3,3,2
900000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,153,3,4,3
1150000,69057070,Manaus,Adrianópolis,Centro-Sul,Rua Teresina,Apartamentos,161,3,2,5
300001,69058810,Manaus,Flores,Centro-Sul,Rua Visconde de Utinga,Casas,60,2,2,1
870000,69097273,Manaus,Nova Cidade,Norte,Rua Palermo,Casas,200,3,2,2
850000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,187,3,4,4
4500000,69057000,Manaus,Adrianópolis,Centro-Sul,Avenida Mário Ypiranga - até 436/437,Apartamentos,414,3,5,4
220000,69018150,Manaus,Lago Azul,Norte,Avenida Comendador José Cruz,Apartamentos,60,3,1,2
248309,69044235,Manaus,Planalto,Centro-Oeste,Avenida José Moacir Teberga de Toledo,Apartamentos,51,2,1,2
160000,69028703,Manaus,Flores,Centro-Sul,null,Casas,20,2,1,1
250132,69058000,Manaus,Flores,Centro-Sul,Conjunto Anavilhanas,Casas,70,2,2,2
340000,69029160,Manaus,Santo Antônio,Oeste,Rua Marechal Bittencourt,Apartamentos,69,2,1,2
187800,69043000,Manaus,Alvorada,Centro-Oeste,Avenida Desembargador João Machado - de 1917/1918 ao fim,Apartamentos,41,2,1,1
110000,69070000,Manaus,Educandos,Sul,Rua Amâncio de Miranda,Casas,null,3,null,2
400000,69039530,Manaus,Novo Israel,Norte,Avenida Cristã - até 201/202,Casas,380,4,5,2
370000,69022190,Manaus,Tarumã,Oeste,Condomínio Morada dos Nobres,Casas,95,3,2,2
298500,69054641,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Dom Diogo de Souza,Casas,80,2,2,2
350000,69040610,Manaus,Chapada,Centro-Sul,Rua Ministro Pedroso Horta (Prq Aripuanã),Apartamentos,78,2,1,2
480000,69028040,Manaus,Flores,Centro-Sul,Avenida Barão de Tefé,Casas,284,4,5,1
280000,69015754,Manaus,Colônia Terra Nova,Norte,Avenida 1 (Cj V Melhor IV),Apartamentos,72,3,2,2
220000,69057060,Manaus,Adrianópolis,Centro-Sul,Rua Belo Horizonte,Apartamentos,93,2,1,2
280000,69083000,Manaus,Aleixo,Centro-Sul,Avenida Cosme Ferreira,Apartamentos,74,3,3,1
732000,69053120,Manaus,Nossa Senhora das Graças,Centro-Sul,Avenida Rio Guamá,Apartamentos,139,3,2,4
80000,69095636,Manaus,Cidade Nova,Norte,Rua Charlotte (C Dourado),Casas,350,3,3,2
260000,null,null,null,null,null,Casas,10,4,1,5
1600000,69055742,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Luis de Castro,Apartamentos,162,3,2,4
600000,69060081,Manaus,Aleixo,Centro-Sul,Avenida José de Arimatéia,Apartamentos,73,2,1,3
426000,69028338,Manaus,Flores,Centro-Sul,Rua Siena,Casas,213,4,4,4
5000000,null,null,null,null,null,Casas,670,5,5,3
128000,69095638,Manaus,Cidade Nova,Norte,Rua San Diego,Casas,270,3,2,3
900000,69037144,Manaus,Ponta Negra,Oeste,Avenida Frederico Baird,Casas,192,3,2,5
360000,69058278,Manaus,Novo Aleixo,Norte,Rua Raimunda Marinho,Casas,90,3,3,1
880000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,180,3,4,4
530000,69022200,Manaus,Tarumã,Oeste,Residencial Tarumã,Casas,300,3,4,3
230000,69088220,Manaus,Jorge Teixeira,Leste,Rua dos Gipses,Casas,300,2,null,1
250000,69099762,Manaus,Novo Aleixo,Norte,Rua José Romão,Apartamentos,70,2,1,1
1300000,null,null,null,null,null,Apartamentos,115,3,2,2
52000,69084184,Manaus,Zumbi dos Palmares,Leste,null,Casas,1,2,0,1
610000,69057030,Manaus,Adrianópolis,Centro-Sul,Rua Belém,Apartamentos,118,3,null,3
190000,69054700,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Apartamentos,50,2,1,1
750000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,190,4,4,5
450000,69053130,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Acre,Apartamentos,62,1,5,2
570000,69042470,Manaus,Dom Pedro I,Centro-Oeste,Avenida Domingos Jorge Velho,Casas,275,3,4,2
500000,69058030,Manaus,Flores,Centro-Sul,Avenida Professor Nilton Lins,Apartamentos,85,3,null,2
650012,69053971,Manaus,Nossa Senhora das Graças,Centro-Sul,Avenida João Valério,Casas,250,3,2,2
430000,69054250,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Inês Mezzano (Cj Jd Primavera),Apartamentos,150,3,2,3
1500000,69093415,Manaus,Colônia Terra Nova,Norte,Avenida Torquato Tapajós,Casas,335,5,4,5
210000,69048662,Manaus,Alvorada,Centro-Oeste,Avenida Senador Raimundo Parente,Apartamentos,41,2,1,1
300129,69045000,Manaus,Planalto,Centro-Oeste,Avenida Constantinopla,Casas,90,3,2,2
650000,69040070,Manaus,Dom Pedro I,Centro-Oeste,Rua Bartolomeu B da Silva,Casas,150,3,3,2
847200,69040270,Manaus,Dom Pedro I,Centro-Oeste,Avenida Jacira Reis - de 1/2 ao fim,Apartamentos,133,4,2,5
280010,69095247,Manaus,Cidade Nova,Norte,null,Casas,257,4,3,3
null,69037005,Manaus,Ponta Negra,Oeste,Avenida do Turismo,Casas,360,4,4,5
1600000,69037071,Manaus,Ponta Negra,Oeste,Avenida Cecília Meireles,Casas,350,3,null,4
350000,69070840,Manaus,Colônia Oliveira Machado,Sul,Rua Vista Alegre,Casas,260,2,3,1
200000,69015550,Manaus,Colônia Terra Nova,Norte,Rua Lilifloro,Casas,null,2,5,2
550000,69040580,Manaus,Dom Pedro I,Centro-Oeste,Travessa Tucuruí,Apartamentos,120,3,2,4
1400000,69057070,Manaus,Adrianópolis,Centro-Sul,Rua Teresina,Apartamentos,155,3,null,5
850000,69055302,Manaus,Parque 10 de Novembro,Centro-Sul,Rua 15-A,Casas,275,3,5,1
180000,69050110,Manaus,Chapada,Centro-Sul,Conjunto Tocantins,Apartamentos,null,2,1,1
1400000,69037225,Manaus,Ponta Negra,Oeste,Avenida José Augusto Loureiro,Casas,null,3,4,4
750022,null,null,null,null,null,Casas,144,3,4,2
350000,69040270,Manaus,Dom Pedro I,Centro-Oeste,Avenida Jacira Reis - de 1/2 ao fim,Casas,90,2,2,1
875000,69037005,Manaus,Ponta Negra,Oeste,Avenida do Turismo,Casas,153,3,4,4
850000,69058580,Manaus,Flores,Centro-Sul,Rua Marquês de Tamandaré,Apartamentos,218,3,2,2
560000,69040270,Manaus,Dom Pedro I,Centro-Oeste,Avenida Jacira Reis - de 1/2 ao fim,Apartamentos,95,3,2,2
2300000,69041010,Manaus,Tarumã,Oeste,Avenida do Turismo,Casas,800,4,5,5
950000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,165,4,3,3
200000,69098030,Manaus,Novo Aleixo,Norte,Rua Capitólio,Casas,236,2,2,1
1500000,69090786,Manaus,Cidade Nova,Norte,Rua Ararangua,Casas,0,4,2,4
210000,null,null,null,null,null,Apartamentos,60,2,1,1
500000,69093770,Manaus,Colônia Santo Antônio,Norte,Avenida Max Teixeira - até 2999 - lado ímpar,Apartamentos,95,3,2,3
2600000,69037225,Manaus,Ponta Negra,Oeste,Avenida José Augusto Loureiro,Casas,335,4,4,5
850000,69037042,Manaus,Ponta Negra,Oeste,Rua Raimundo Nonato de Castro,Apartamentos,149,3,2,2
null,69058360,Manaus,Flores,Centro-Sul,Rua Santo Antenodoro,Casas,250,3,2,4
125000,69058190,Manaus,Flores,Centro-Sul,Rua Barão de Jucuí,Casas,350,3,3,2
299999,69058810,Manaus,Flores,Centro-Sul,Rua Visconde de Utinga,Casas,60,2,2,1
750000,69037042,Manaus,Ponta Negra,Oeste,Rua Raimundo Nonato de Castro,Apartamentos,150,4,3,2
1500000,69041460,Manaus,Tarumã,Oeste,Rua Sino Azul,Casas,198,3,4,4
290000,69093770,Manaus,Colônia Santo Antônio,Norte,Avenida Max Teixeira - até 2999 - lado ímpar,Apartamentos,66,2,1,2
115,69045210,Manaus,Planalto,Centro-Oeste,Rua Varsóvia,Apartamentos,43,2,1,1
270130,69058000,Manaus,Flores,Centro-Sul,Conjunto Anavilhanas,Casas,70,2,2,2
250000,69050190,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Sophia Gonçalves,Apartamentos,130,3,1,3
1070000,69055021,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Maneca Marques,Apartamentos,140,4,2,4
2300000,69037005,Manaus,Ponta Negra,Oeste,Avenida do Turismo,Casas,500,4,4,5
280000,69086110,Manaus,São José Operário,Leste,Rua Rio Traina,Casas,400,5,2,3
160247,69058000,Manaus,Flores,Centro-Sul,Conjunto Anavilhanas,Casas,80,2,2,2
795000,69040270,Manaus,Dom Pedro I,Centro-Oeste,Avenida Jacira Reis - de 1/2 ao fim,Apartamentos,133,4,2,4
145000,69093320,Manaus,Colônia Santo Antônio,Norte,Rua General Fiuza de Castro,Apartamentos,224,5,3,5
1290000,69057040,Manaus,Adrianópolis,Centro-Sul,Rua Salvador,Casas,115,3,2,2
250000,69028390,Manaus,Flores,Centro-Sul,Rua Uirapuru,Casas,90,3,2,1
155000,69093415,Manaus,Colônia Terra Nova,Norte,Avenida Torquato Tapajós,Apartamentos,42,2,1,1
36000,69028000,Manaus,Flores,Centro-Sul,Rua Espanha,Casas,null,3,null,null
140000,69054050,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Márcio Figueiredo,Apartamentos,45,2,null,1
155000,69093112,Manaus,Monte das Oliveiras,Norte,Rua Yarapé,Casas,null,2,1,3
375000,69054672,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Misushiro,Apartamentos,63,2,1,1
600000,69077580,Manaus,Japiim,Sul,Avenida Rio Negro,Casas,119,3,4,3
250000,69092030,Manaus,Nova Cidade,Norte,Rua Monte Buri,Casas,90,2,2,3
700000,null,null,null,null,null,Casas,156,4,2,4
170000,69015470,Manaus,Colônia Terra Nova,Norte,Rua Monte dos Anjos,Casas,10000,5,3,4
260000,69046280,Manaus,Alvorada,Centro-Oeste,Travessa Doutor Aurélio Pinheiro,Casas,250,3,2,3
180000,69088167,Manaus,Jorge Teixeira,Leste,Rua Peritiba,Casas,null,5,2,3
280127,69098000,Manaus,Novo Aleixo,Norte,Rua Cariré,Casas,90,3,2,2
2400000,69057070,Manaus,Adrianópolis,Centro-Sul,Rua Teresina,Apartamentos,260,4,3,5
690000,69049570,Manaus,Redenção,Centro-Oeste,Rua Mário Sahdo,Casas,450,5,4,2
175000,69044590,Manaus,Planalto,Centro-Oeste,Rua Fulvio Pennanchi,Apartamentos,38,2,1,1
68500,69053110,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Rio Javari,Apartamentos,null,2,1,1
100000,69099762,Manaus,Novo Aleixo,Norte,Rua José Romão,Apartamentos,45,2,1,2
290000,69098032,Manaus,Novo Aleixo,Norte,Rua Capibaribe,Casas,82,3,null,2
4000000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Casas,800,4,5,5
3500000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,332,4,3,5
630000,69040901,Manaus,Dom Pedro I,Centro-Oeste,Avenida Pedro Teixeira,Apartamentos,101,3,2,2
360000,69020010,Manaus,Centro,Sul,Avenida Getúlio Vargas - até 719/720,Apartamentos,96,3,null,2
365000,69058588,Manaus,Novo Aleixo,Norte,Rua Ribeiro da Costa,Casas,168,3,2,3
380000,69058828,Manaus,Flores,Centro-Sul,Rua Jorge Luiz Milani,Apartamentos,65,3,2,2
260000,69080440,Manaus,Coroado,Leste,Rua Treze de Maio,Casas,161,4,2,3
87000,69093250,Manaus,Colônia Santo Antônio,Norte,Rua Lígia Pinto,Casas,70,2,2,1
375000,69058197,Manaus,Flores,Centro-Sul,Rua Inácio Bento,Casas,162,2,2,3
2300105,69037107,Manaus,Ponta Negra,Oeste,Rua Thales Loureiro,Casas,230,4,4,5
370000,69060081,Manaus,Aleixo,Centro-Sul,Avenida José de Arimatéia,Apartamentos,60,2,1,2
160126,69058000,Manaus,Flores,Centro-Sul,Conjunto Anavilhanas,Casas,70,2,2,2
175000,69099190,Manaus,Novo Aleixo,Norte,Rua Ipueiras,Casas,8,4,1,4
350000,null,null,null,null,null,Casas,220,4,5,3
440000,69040310,Manaus,Dom Pedro I,Centro-Oeste,Rua Massarandubas,Casas,250,3,2,3
350000,69043040,Manaus,Alvorada,Centro-Oeste,Avenida Professora Maria T. Monteiro,Casas,100,3,5,1
1200000,69057002,Manaus,Adrianópolis,Centro-Sul,Avenida Mário Ypiranga - de 1087/1088 a 2275/2276,Apartamentos,186,3,3,3
670000,69040270,Manaus,Dom Pedro I,Centro-Oeste,Avenida Jacira Reis - de 1/2 ao fim,Apartamentos,96,3,2,2
790000,69055021,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Maneca Marques,Apartamentos,127,3,2,4
180000,69050110,Manaus,Chapada,Centro-Sul,Conjunto Tocantins,Apartamentos,60,2,1,1
300026,69045000,Manaus,Planalto,Centro-Oeste,Avenida Constantinopla,Casas,80,3,2,2
250000,69097000,Manaus,Cidade Nova,Norte,Rua Padre João Ribeiro,Casas,75,2,2,2
750000,69093415,Manaus,Colônia Terra Nova,Norte,Avenida Torquato Tapajós,Casas,250,3,2,4
165000,69023097,Manaus,Tarumã-Açu,Oeste,Rua Mutum do Norte,Apartamentos,52,3,1,1
890000,69033000,Manaus,São Jorge,Oeste,Avenida São Jorge - até 773/774,Apartamentos,113,3,2,3
370000,69054659,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Pusan,Casas,80,3,2,2
1200000,69037144,Manaus,Ponta Negra,Oeste,Avenida Frederico Baird,Casas,300,3,4,3
1150000,69057015,Manaus,Adrianópolis,Centro-Sul,Avenida Jornalista Umberto Calderaro Filho - até 99997/99998,Apartamentos,180,3,3,4
300000,69038320,Manaus,Lírio do Vale,Oeste,Rua Jaborandí,Casas,375,3,2,2
990000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,138,3,4,4
230000,69035350,Manaus,Compensa,Oeste,Avenida Coronel Cyrillo Neves,Apartamentos,57,2,1,2
630000,69040901,Manaus,Dom Pedro I,Centro-Oeste,Avenida Pedro Teixeira,Apartamentos,101,3,2,3
157000,69039110,Manaus,Novo Israel,Norte,Rua Tudy Moutinho,Apartamentos,41,2,1,1
370000,69037042,Manaus,Ponta Negra,Oeste,Rua Raimundo Nonato de Castro,Apartamentos,89,3,1,1
100000,69067280,Manaus,Petrópolis,Sul,Rua Izabel Motta,Apartamentos,36,1,1,1
120000,69088340,Manaus,Jorge Teixeira,Leste,Rua Dom Milton Correa,Casas,70,3,1,2
228000,69037043,Manaus,Ponta Negra,Oeste,Rua Francisco Loureiro,Apartamentos,55,2,1,1
2700000,69055705,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Professor Samuel Benchimol,Casas,590,5,4,5
49999,69088102,Manaus,Jorge Teixeira,Leste,Rua Papucaia (Até o 651),Casas,20,1,1,1
140000,69095509,Manaus,Cidade Nova,Norte,Rua Hortolândia,Casas,null,2,1,1
1750000,69005070,Manaus,Centro,Sul,Avenida Floriano Peixoto,Casas,450,4,5,4
350,69090667,Manaus,Nova Cidade,Norte,Rua Mar Vermelho (Cj Galiléia I),Casas,null,3,3,4
205000,69049072,Manaus,Da Paz,Centro-Oeste,Rua Jorge Luiz Milani,Apartamentos,42,2,null,1
300000,null,null,null,null,null,Casas,132,5,null,4
700000,null,null,null,null,null,Apartamentos,160,3,1,4
395000,69058305,Manaus,Flores,Centro-Sul,Rua Santa Cruz,Apartamentos,72,2,2,2
270000,69097184,Manaus,Cidade Nova,Norte,Rua Alegria,Apartamentos,100,2,2,1
540000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,80,3,2,1
500000,69036800,Manaus,Santo Agostinho,Oeste,Condomínio Vila Verde,Casas,300,5,2,4
360000,69058562,Manaus,Novo Aleixo,Norte,Rua Jorge Martins,Casas,120,3,2,2
400000,69055705,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Professor Samuel Benchimol,Apartamentos,72,2,1,2
780000,69055000,Manaus,Parque 10 de Novembro,Centro-Sul,Rua do Comércio,Casas,156,3,4,1
405000,69090343,Manaus,Cidade Nova,Norte,Rua Grão-Pará,Casas,540,3,3,4
240000,69099323,Manaus,Cidade de Deus,Norte,Rua São Juliano,Casas,250,2,3,2
510000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,72,2,1,2
800000,69041460,Manaus,Tarumã,Oeste,Rua Sino Azul,Casas,250,3,null,2
200132,69021005,Manaus,Tarumã,Oeste,Avenida Dona Otília,Apartamentos,70,2,1,1
700000,69055140,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Doutor Mendonça,Apartamentos,157,3,2,3
56000,69093594,Manaus,Colônia Terra Nova,Norte,Rua dos Caldeus,Casas,null,1,null,1
295000,69058833,Manaus,Flores,Centro-Sul,Rua Dom Jackson D. Rodrigues,Apartamentos,59,2,1,1
520000,69054700,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Casas,140,3,4,3
1100000,69055742,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Luis de Castro,Apartamentos,140,4,2,2
7500000,69037144,Manaus,Ponta Negra,Oeste,Avenida Frederico Baird,Casas,1129,5,0,5
988252,69037061,Manaus,Ponta Negra,Oeste,Alameda Zaire,Apartamentos,146,2,2,2
105000,69018150,Manaus,Lago Azul,Norte,Avenida Comendador José Cruz,Casas,160,2,2,2
550000,69053040,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Rio Itannana,Apartamentos,176,4,3,4
266000,69037255,Manaus,Ponta Negra,Oeste,Avenida Thales Loureiro,Apartamentos,53,2,2,2
150000,69043332,Manaus,Alvorada,Centro-Oeste,Rua Afonso de Taunay,Casas,300,3,3,3
75000,69041010,Manaus,Tarumã,Oeste,Avenida do Turismo,Apartamentos,41,2,1,1
1300000,69037023,Manaus,Ponta Negra,Oeste,Alameda Portugal,Casas,470,4,5,4
240000,69093415,Manaus,Colônia Terra Nova,Norte,Avenida Torquato Tapajós,Apartamentos,65,2,1,2
320000,69080842,Manaus,Coroado,Leste,Beco Maranhão,Casas,500,5,3,4
430000,69041010,Manaus,Tarumã,Oeste,Avenida do Turismo,Casas,250,3,3,3
4700000,69037005,Manaus,Ponta Negra,Oeste,Avenida do Turismo,Casas,912,4,4,5
850000,69074730,Manaus,Morro da Liberdade,Sul,Rua Rosa Rezende,Apartamentos,900,1,5,1
400000,69040180,Manaus,Dom Pedro I,Centro-Oeste,Rua Rodrigues Alves,Casas,300,2,1,2
580000,69021530,Manaus,Tarumã,Oeste,Rua Jacamim,Casas,304,3,5,3
1,69088697,Manaus,Jorge Teixeira,Leste,null,Casas,null,3,1,2
590000,69093015,Manaus,Colônia Santo Antônio,Norte,Rua Evaristo Faustino,Apartamentos,92,2,null,3
120000,69099280,Manaus,Novo Aleixo,Norte,Rua Inoa,Casas,null,2,2,1
180000,69075155,Manaus,Distrito Industrial I,Sul,Avenida Autaz Mirim,Casas,160,3,2,3
399000,69058305,Manaus,Flores,Centro-Sul,Rua Santa Cruz,Casas,72,2,2,2
850000,69083110,Manaus,Aleixo,Centro-Sul,Rua Monteiro Lobato,Casas,111,4,2,5
2939925,69057070,Manaus,Adrianópolis,Centro-Sul,Rua Teresina,Apartamentos,220,4,4,5
410000,69067040,Manaus,Petrópolis,Sul,Rua Crisanto Jobim,Casas,200,3,3,3
870000,69041900,Manaus,Tarumã,Oeste,Avenida Torquato Tapajós,Casas,260,4,4,4
250000,69028340,Manaus,Flores,Centro-Sul,Rua Bom Pastor,Casas,255,2,5,2
220000,69057040,Manaus,Adrianópolis,Centro-Sul,Rua Salvador,Apartamentos,45,1,null,1
43000,69022135,Manaus,Tarumã,Oeste,Rua Moldova,Apartamentos,55,2,1,1
730000,69055035,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Darcy Vargas,Apartamentos,180,3,2,4
140000,69092405,Manaus,Nova Cidade,Norte,Rua Monte Aconcágua,Casas,200,3,2,2
360000,69058745,Manaus,Novo Aleixo,Norte,Rua Rita Teles (Á Claras),Apartamentos,104,3,2,2
650000,69037155,Manaus,Ponta Negra,Oeste,Rua Mediterrâneo,Casas,160,3,4,1
280000,69098370,Manaus,Novo Aleixo,Norte,Rua Castro,Casas,230,5,2,5
380369,69097000,Manaus,Cidade Nova,Norte,Rua Padre João Ribeiro,Casas,80,3,2,2
750000,69050020,Manaus,Chapada,Centro-Sul,Avenida Darcy Vargas,Apartamentos,160,3,2,5
6734250,69057070,Manaus,Adrianópolis,Centro-Sul,Rua Teresina,Apartamentos,538,5,5,5
120000,69023022,Manaus,Tarumã-Açu,Oeste,Rua dos Tigres,Apartamentos,42,2,1,1
2000000,69055737,Manaus,Parque 10 de Novembro,Centro-Sul,Condomínio Parque dos Rios IV,Casas,500,4,null,4
550000,69049000,Manaus,Da Paz,Centro-Oeste,Alameda Santos Dumont,Casas,100,3,5,2
750000,69057580,Manaus,Adrianópolis,Centro-Sul,Rua René de Nápolis,Casas,397,4,1,5
200046,69021005,Manaus,Tarumã,Oeste,Avenida Dona Otília,Apartamentos,70,2,2,1
1500000,69055021,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Maneca Marques,Apartamentos,162,3,null,4
null,null,null,null,null,null,null,null,null,null,null
1600000,69057015,Manaus,Adrianópolis,Centro-Sul,Avenida Jornalista Umberto Calderaro Filho - até 99997/99998,Apartamentos,280,4,4,5
730000,69065070,Manaus,Cachoeirinha,Sul,Avenida Maués,Casas,306,4,5,3
1000000,69037057,Manaus,Ponta Negra,Oeste,Alameda Alaska,Apartamentos,132,4,2,4
950000,69057001,Manaus,Adrianópolis,Centro-Sul,Avenida Mário Ypiranga - de 438/439 a 1085/1086,Apartamentos,140,4,2,3
36000,69098445,Manaus,Novo Aleixo,Norte,Rua Cachoeira do Niágara,Apartamentos,50,2,null,2
1600000,69050580,Manaus,Chapada,Centro-Sul,Rua Ingrid Bergman (Cj Beverly Hills),Casas,345,5,4,4
195000,69097190,Manaus,Cidade Nova,Norte,Travessa Liberal,Casas,300,2,2,2
990000,69037005,Manaus,Ponta Negra,Oeste,Avenida do Turismo,Casas,160,3,4,3
450000,69037005,Manaus,Ponta Negra,Oeste,Avenida do Turismo,Apartamentos,149,2,3,4
15000,69095230,Manaus,Cidade Nova,Norte,Rua Cajarana,Casas,60,2,null,2
250000,69099133,Manaus,Cidade de Deus,Norte,Rua Luiz da Cunha Menezes,Casas,42,2,2,1
27000,69093069,Manaus,Colônia Terra Nova,Norte,Travessa Ticuna,Casas,null,2,0,2
288720,69045000,Manaus,Planalto,Centro-Oeste,Avenida Constantinopla,Apartamentos,55,2,null,2
450000,69054050,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Márcio Figueiredo,Apartamentos,150,3,2,4
574500,69037900,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,85,3,2,2
200000,69095000,Manaus,Cidade Nova,Norte,Avenida Noel Nutels - de 851/852 a 2399/2400,Apartamentos,61,2,1,1
2329640,69057002,Manaus,Adrianópolis,Centro-Sul,Avenida Mário Ypiranga - de 1087/1088 a 2275/2276,Apartamentos,215,4,3,5
380000,69023001,Manaus,Tarumã-Açu,Oeste,null,Casas,70,3,2,2
195000,69028331,Manaus,Flores,Centro-Sul,Rua Franz Schubert,Apartamentos,42,2,1,1
55000,69015138,Manaus,Colônia Terra Nova,Norte,Rua Fernando de Noronha,Casas,160,1,null,1
300000,69044650,Manaus,Planalto,Centro-Oeste,Rua Elias Guedes da Silva,Casas,93,3,2,2
220000,69099762,Manaus,Novo Aleixo,Norte,Rua José Romão,Apartamentos,45,2,1,1
30000,69057060,Manaus,Adrianópolis,Centro-Sul,Rua Belo Horizonte,Casas,100,1,1,1
750000,69055021,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Maneca Marques,Apartamentos,104,3,2,2
1500000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,134,3,2,5
450010,69037090,Manaus,Ponta Negra,Oeste,Alameda Antônio Gomide,Apartamentos,66,2,1,2
180000,69028121,Manaus,Flores,Centro-Sul,Rua Coronel Joaquim Tinoco Valente,Casas,76,3,3,2
590000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,69,2,1,2
650005,69040220,Manaus,Dom Pedro I,Centro-Oeste,Rua Acariquara,Casas,600,5,3,5
150000,69021005,Manaus,Tarumã,Oeste,Avenida Dona Otília,Apartamentos,45,2,1,1
390000,69054714,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Jack London,Apartamentos,93,3,1,3
450000,69063120,Manaus,São Francisco,Sul,Rua Pimenta Bueno,Casas,250,3,3,3
280000,69055400,Manaus,Parque 10 de Novembro,Centro-Sul,Rua Francisco Filho,Casas,null,3,1,2
310000,69044200,Manaus,Planalto,Centro-Oeste,Rua Joaquim da Mota (Cj Belvedere),Casas,320,3,null,2
null,69080140,Manaus,Coroado,Leste,Rua Central,Casas,null,4,null,null
230000,69048340,Manaus,Alvorada,Centro-Oeste,Rua Professora Cacilda Pedroso,Apartamentos,46,2,1,1
150000,69057030,Manaus,Adrianópolis,Centro-Sul,Rua Belém,Apartamentos,30,1,1,1
780000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,150,3,4,2
3000000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Casas,10,4,5,5
240000,69039170,Manaus,Novo Israel,Norte,Rua Arca da Aliança - até 909/910,Casas,600,3,null,3
70000,69092410,Manaus,Nova Cidade,Norte,Rua Monte Albert,Casas,70,2,3,1
960000,69053050,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Rio Purús,Casas,135,4,4,5
500000,69057140,Manaus,Nossa Senhora das Graças,Centro-Sul,Rua Jorge Baird,Apartamentos,96,3,2,3
280134,69098000,Manaus,Novo Aleixo,Norte,Rua Cariré,Casas,90,3,2,2
142000,69058830,Manaus,Flores,Centro-Sul,Avenida Torquato Tapajós,Apartamentos,41,2,1,1
3500000,69041010,Manaus,Tarumã,Oeste,Avenida do Turismo,Casas,500,4,5,5
480000,69093000,Manaus,Colônia Santo Antônio,Norte,Avenida Francisco Queiroz - até 1429 - lado ímpar,Casas,169,3,4,1
205000,69049072,Manaus,Da Paz,Centro-Oeste,Rua Jorge Luiz Milani,Apartamentos,42,2,1,1
40000,69086726,Manaus,Gilberto Mestrinho,Leste,Rua Irapurá,Casas,null,2,0,1
212000,69060097,Manaus,Aleixo,Centro-Sul,Beco Abelardo Barbosa,Apartamentos,71,2,1,1
900000,69055021,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Maneca Marques,Apartamentos,155,3,3,3
55000,69041363,Manaus,Tarumã,Oeste,Rua Praia de Canoa Quebrada,Apartamentos,48,2,1,1
1300000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Casas,328,3,4,4
